income,energy_100g,fat_100g,carbohydrates_100g,proteins_100g
-15K,0.342877,0.296745,0.428306,0.638662
015-024K,0.731181,0.498872,0.739206,0.923473
025-034K,1.000000,1.000000,0.490264,0.842508
035-049K,0.808181,0.851824,0.457515,0.780988
050-074K,0.580236,0.490723,0.537046,0.572645
075-099K,0.790719,0.631806,0.581736,0.653236
100-124K,0.565577,0.285269,0.742767,0.434498
125-149K,0.823576,0.696204,0.567150,0.693503
150-174K,0.428175,0.228319,0.547872,0.282265
175-199K,0.591144,0.333963,0.582827,0.758579
200-249K,0.000000,0.000000,0.000000,0.000000
250K+,0.626012,0.076763,1.000000,1.000000
