product,19-24,25-34,35-44,45-54,55-64,65+
SOFT DRINKS 12/18&15PK CAN CAR,0.0031840408077066784,0.0025566142560744173,0.0023977226411249237,0.0021284495663875243,0.002902183233295957,0.0012029518587919588
HAMBURGER BUNS,0.0032327761261919845,0.002428783543270696,0.002174826778072142,0.002549409591739724,0.002783457555570213,0.0026025400791172184
PEPPERS GREEN BELL,0.0022093344380005524,0.0026991946665093367,0.0024072753209700426,0.0023578491307648464,0.003495811621924675,0.002590973234321142
CUCUMBERS,0.0016245106161768767,0.0022862031328357768,0.0025760393315671488,0.0028048235397062264,0.0028626080073873754,0.002440604251972147
CARROTS MINI PEELED,0.0016894910408239519,0.003161351858953558,0.002588776238027308,0.0025470446477770707,0.0023745135545148737,0.002544705855136836
STRAWBERRIES,0.0026804425166918468,0.002925356696854381,0.0026651976767882615,0.002873406914623158,0.003706879493437108,0.0032618502324935805
MAINSTREAM WHITE BREAD,0.003054079958412528,0.0026500290077386746,0.002732066435704096,0.003005843776531715,0.0022294043928500758,0.004048395678626784
EGGS - X-LARGE,0.0034439625062949787,0.004228246654276921,0.0042159160383126145,0.004027499568397727,0.006886089308093134,0.005702454484465727
FLUID MILK WHITE ONLY,0.007537729259060708,0.007114270824114773,0.007476564092113307,0.006380618811237268,0.004247740914187718,0.004834941124759988
BANANAS,0.010218171775752554,0.014420287717435126,0.013889596494803343,0.014686302008073918,0.018653123144911285,0.02451014412288616
