product,-15K,015-024K,025-034K,035-049K,050-074K,075-099K,100-124K,125-149K,150-174K,175-199K,200-249K,250K+
SOFT DRINKS 12/18&15PK CAN CAR,0.0018358749058185562,0.0026307644692045804,0.002370490286771508,0.0025910503007469097,0.002925989672977625,0.0018036028596883896,0.0025187394212944306,0.0018698421178422304,0.0010414176938573429,0.0015073422153068171,0.0027803521779425394,0.000576191756616602
HAMBURGER BUNS,0.003035030191122006,0.0029997857295907433,0.002919750231267345,0.0028157842554035295,0.0025887807790930485,0.0017166822399443708,0.003485935359071492,0.0013074835861603565,0.0021852699149793424,0.0006807351940095302,0.0013901760889712697,0.0007298428917143626
PEPPERS GREEN BELL,0.00275911835556546,0.0019760493298097755,0.0030161116250385445,0.002467666953092295,0.0022972355895886755,0.002216475803472479,0.0028814378979608287,0.0023619058330638697,0.00368764298152764,0.003306428085189147,0.001699104108742663,0.0023815925940152884
CUCUMBERS,0.00293952224804474,0.00255934099945242,0.002331945729263028,0.002203274065260978,0.002796023745126278,0.0025424281275125494,0.0028411380672201175,0.0020947855305149797,0.0031925427664151328,0.0024798210638918602,0.001699104108742663,0.0026120692966619292
CARROTS MINI PEELED,0.0025362664883851727,0.002071280622812656,0.0017152328091273512,0.0023222508647850705,0.003070005971407496,0.0028394069116379466,0.0028008382364794067,0.0028680285115775563,0.003209615187625909,0.0021880774093163474,0.003398208217485326,0.0021127031075942075
STRAWBERRIES,0.0023770865832563963,0.0017379710973025736,0.00197540857230959,0.002291405027871417,0.0025396044820682143,0.002593131822363227,0.0026597888288869185,0.004526986180039084,0.0063167958479871614,0.007585335018963337,0.010812480691998765,0.00572350478239158
MAINSTREAM WHITE BREAD,0.0029076862670189847,0.00252362926457634,0.003083564600678384,0.0039174212880340184,0.003263198566862201,0.0025641582824485537,0.0009268961070363505,0.0024040827229400105,0.001980400860450029,0.0019935816395993387,0.00030892801977139327,0.0008066684592632429
EGGS - X-LARGE,0.004786009147538548,0.005225817203533081,0.004316990440949738,0.004952960098706678,0.004130808950086058,0.0036868829541421297,0.005259127911662771,0.002966441254621884,0.005258305732919043,0.0018477098123115823,0.004788384306456596,0.004532708485383936
FLUID MILK WHITE ONLY,0.005666804622584445,0.006678094421827012,0.006629663891458526,0.007971445568114218,0.006505321577856616,0.005867141832721267,0.006246473764810188,0.0100240408272294,0.004729060675384983,0.0021880774093163474,0.005097312326227989,0.002496830945338609
BANANAS,0.012479704562096081,0.013082398876270742,0.011842815294480419,0.015286315464780664,0.015567810601004602,0.015066240755629921,0.01994841621665189,0.014986854869321936,0.019069894492436918,0.01731012350481377,0.02332406549274019,0.019283217454768947
